Accession,NC1,NC2,NC3,EV1,EV2,EV3
A0A0B4J1R2,1,0.987,0.959,0.755,0.737,0.814
B7ZKR8,1,1.067,1.099,0.89,0.804,0.899
B2RE75,1,0.884,0.817,0.65,0.776,0.651
Q9UIB8,1,0.936,0.979,0.547,0.575,0.547
A0A4D5RBK2,1,0.962,1.063,0.862,0.835,0.713
B4DVK1,1,0.87,0.984,1.221,1.154,1.112
P35354,1,1.059,1.049,1.368,1.5,1.405
B4DLK5,1,0.943,0.835,1.126,1.212,1.1
Q00722,1,0.998,0.991,0.784,0.793,0.75
B2RAF9,1,0.983,0.943,0.709,0.753,0.725
P07858,1,1.031,1.053,0.828,0.81,0.872
B4DVG3,1,0.986,0.9,0.793,0.813,0.763
P17900,1,0.919,0.894,0.69,0.745,0.708
B5MDC5,1,0.886,0.778,0.698,0.713,0.685
Q96C23,1,0.963,0.96,0.797,0.789,0.77
Q6MZQ5,1,1.061,1.268,0.832,0.882,0.902
Q9Y287,1,1.088,1.097,0.836,0.887,0.885
Q15043,1,1.02,1.232,1.639,1.621,1.621
Q9NXJ5,1,0.892,0.924,0.777,0.796,0.744
P36222,1,0.997,1.051,0.699,0.697,0.748
Q9NR30,1,0.978,1.073,1.286,1.243,1.33
B4DN59,1,0.977,0.929,1.21,1.113,1.203
Q14142,1,1.244,1.087,0.887,0.81,0.88
A0A024R8D5,1,0.996,0.971,1.153,1.216,1.195
A0A2R8Y5Q7,1,0.906,1.018,1.177,1.186,1.213
A0A8I5KVE6,1,0.991,1.035,1.183,1.24,1.251
P49715,1,0.992,0.934,0.694,0.727,0.704
V9HWJ5,1,1.024,0.879,0.76,0.775,0.797
Q59GX2,1,0.959,1.008,1.321,1.2,1.411
A0A2R8YDT1,1,1.014,0.955,0.642,0.62,0.607
P01584,1,0.959,1.01,3.009,3.36,2.832
A0A1B0GW68,1,0.897,0.815,0.755,0.711,0.768
P21580,1,1.059,1.003,1.275,1.174,1.247
F8VZN8,1,0.974,0.992,0.779,0.763,0.764
P16619,1,1.027,0.981,4.931,4.216,4.938
P02655,1,1.127,1.159,0.761,0.616,0.859
F5GWI4,1,0.978,0.979,1.239,1.222,1.1
F5H3C5,1,0.958,0.967,1.558,1.595,1.141
Q8NEA6,1,0.943,1.219,1.498,1.438,1.507
Q8NA29,1,1.003,1.056,2.116,1.801,2.296
E9PNF7,1,1.042,1.079,0.817,0.901,0.842
A0A0B4J259,1,1.026,1,0.719,0.716,0.729
Q13077,1,0.978,0.909,2.129,1.976,1.919
A0A0U1RRM4,1,0.995,1.183,1.342,1.436,1.255
P09601,1,1.062,0.896,0.677,0.817,0.704
Q96CP6,1,1.015,0.992,1.506,1.423,1.495
Q5T073,1,0.78,0.807,0.547,0.517,0.55
Q9NZJ0,1,0.974,1.205,1.22,1.34,1.369
P69905,1,1.062,0.992,1.196,1.468,1.241
E7ETU9,1,0.979,1.122,1.242,1.287,1.265
H0Y5S9,1,1.03,1.103,1.325,1.255,1.272
O43353,1,1.031,1.01,1.303,1.162,1.204
C9J5J2,1,1.086,1.149,0.697,0.653,0.792
Q07954,1,0.966,0.957,0.756,0.773,0.793
Q59E85,1,1.084,1.15,1.92,1.47,1.719
P05026,1,0.928,0.97,0.775,0.785,0.8
Q1PHJ8,1,0.995,0.909,1.385,1.305,1.329
Q15582,1,1.016,1.029,0.793,0.772,0.835
A0A140VJJ6,1,0.834,0.792,1.652,1.744,1.594
A8K4G3,1,0.992,1.079,1.575,1.482,1.497
A8K169,1,0.959,1.1,0.784,0.793,0.82
B2RB90,1,1.024,1.062,2.182,2.12,2.084
Q9P0C9,1,0.959,0.986,0.788,0.753,0.743
B7Z5B0,1,1.022,1.04,1.372,1.294,1.342
Q9BY78,1,0.835,0.827,1.1,1.072,1.086
Q16828,1,1.047,1.019,0.869,0.814,0.86
A0A804HKW0,1,0.915,1.127,1.279,1.224,1.334
Q3KP66,1,1.021,1.003,1.211,1.211,1.239
A8K6N9,1,1.188,1.049,0.894,0.905,0.876
O75976,1,0.938,0.95,1.185,1.196,1.174
P10145,1,1.028,0.956,2.823,2.669,2.887
B4DXM7,1,0.968,1.047,0.761,0.705,0.792
Q8WVV9,1,1.085,1.011,0.807,0.82,0.792
H0Y714,1,0.974,1.112,1.348,1.413,1.365
Q86UW9,1,1,1.149,1.386,1.417,1.487
Q8IVL5,1,1.109,1.108,1.52,1.484,1.68
Q6FHN2,1,0.984,1.055,0.785,0.796,0.8
Q6FG54,1,0.88,1.027,1.195,1.209,1.202
P30793,1,1.071,1.008,1.552,1.368,1.593
Q8NBY1,1,1.004,0.919,1.27,1.24,1.186
A8K6D4,1,1.021,1.045,0.834,0.844,0.838
B7Z747,1,0.982,1.08,0.689,0.675,0.732
Q02318,1,0.921,0.904,0.687,0.772,0.696
Q06481,1,0.986,1.043,0.842,0.804,0.868
A0A0A0MRM9,1,1.01,1.081,1.297,1.232,1.325
D3DSQ1,1,0.944,0.873,0.76,0.792,0.747
P48454,1,0.964,1.04,1.223,1.253,1.165
